species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
adelie,torgersen,35.9,16.6,190.0,3050.0,female
adelie,dream,36.6,18.4,184.0,3475.0,female
adelie,dream,38.1,18.6,190.0,3700.0,female
adelie,torgersen,36.7,18.8,187.0,3800.0,female
adelie,dream,41.1,17.5,190.0,3900.0,male
adelie,dream,39.7,17.9,193.0,4250.0,male
adelie,biscoe,40.6,18.6,183.0,3550.0,male
adelie,torgersen,41.1,17.6,182.0,3200.0,female
adelie,torgersen,34.4,18.4,184.0,3325.0,female
adelie,torgersen,36.6,17.8,185.0,3700.0,female
adelie,dream,38.1,17.6,187.0,3425.0,female
adelie,torgersen,39.0,17.1,191.0,3050.0,female
adelie,biscoe,38.1,17.0,181.0,3175.0,female
adelie,torgersen,46.0,21.5,194.0,4200.0,male
adelie,torgersen,41.8,19.4,198.0,4450.0,male
adelie,torgersen,42.0,20.2,190.0,4250.0,
adelie,biscoe,41.6,18.0,192.0,3950.0,male
adelie,dream,39.5,16.7,178.0,3250.0,female
adelie,torgersen,38.8,17.6,191.0,3275.0,female
adelie,biscoe,42.7,18.3,196.0,4075.0,male
adelie,biscoe,42.2,19.5,197.0,4275.0,male
adelie,dream,37.2,18.1,178.0,3900.0,male
adelie,biscoe,39.0,17.5,186.0,3550.0,female
adelie,biscoe,41.1,19.1,188.0,4100.0,male
adelie,biscoe,35.7,16.9,185.0,3150.0,female
adelie,dream,37.0,16.5,185.0,3400.0,female
adelie,dream,38.8,20.0,190.0,3950.0,male
adelie,dream,36.3,19.5,190.0,3800.0,male
adelie,biscoe,39.7,17.7,193.0,3200.0,female
adelie,dream,36.0,18.5,186.0,3100.0,female
adelie,dream,41.3,20.3,194.0,3550.0,male
adelie,biscoe,40.5,18.9,180.0,3950.0,male
adelie,biscoe,35.9,19.2,189.0,3800.0,female
adelie,biscoe,40.1,18.9,188.0,4300.0,male
adelie,torgersen,42.8,18.5,195.0,4250.0,male
adelie,torgersen,37.8,17.3,180.0,3700.0,
adelie,torgersen,41.5,18.3,195.0,4300.0,male
adelie,biscoe,39.6,20.7,191.0,3900.0,female
adelie,biscoe,41.4,18.6,191.0,3700.0,male
adelie,biscoe,40.5,17.9,187.0,3200.0,female
adelie,dream,36.0,17.8,195.0,3450.0,female
adelie,torgersen,40.6,19.0,199.0,4000.0,male
adelie,torgersen,36.7,19.3,193.0,3450.0,female
adelie,dream,39.5,17.8,188.0,3300.0,female
adelie,dream,39.6,18.8,190.0,4600.0,male
adelie,dream,40.2,17.1,193.0,3400.0,female
adelie,biscoe,38.1,16.5,198.0,3825.0,female
adelie,torgersen,38.7,19.0,195.0,3450.0,female
adelie,torgersen,37.8,17.1,186.0,3300.0,
adelie,torgersen,40.2,17.0,176.0,3450.0,female
adelie,dream,40.8,18.9,208.0,4300.0,male
adelie,torgersen,40.9,16.8,191.0,3700.0,female
adelie,torgersen,43.1,19.2,197.0,3500.0,male
adelie,biscoe,35.5,16.2,195.0,3350.0,female
adelie,biscoe,45.6,20.3,191.0,4600.0,male
adelie,biscoe,43.2,19.0,197.0,4775.0,male
adelie,biscoe,38.8,17.2,180.0,3800.0,male
adelie,torgersen,39.1,18.7,181.0,3750.0,male
adelie,torgersen,36.2,16.1,187.0,3550.0,female
adelie,dream,39.6,18.1,186.0,4450.0,male
adelie,biscoe,37.9,18.6,172.0,3150.0,female
adelie,dream,36.5,18.0,182.0,3150.0,female
adelie,dream,37.0,16.9,185.0,3000.0,female
adelie,biscoe,36.4,17.1,184.0,2850.0,female
adelie,dream,36.2,17.3,187.0,3300.0,female
adelie,biscoe,35.3,18.9,187.0,3800.0,female
adelie,biscoe,38.2,18.1,185.0,3950.0,male
adelie,dream,33.1,16.1,178.0,2900.0,female
adelie,dream,39.8,19.1,184.0,4650.0,male
adelie,dream,40.7,17.0,190.0,3725.0,male
adelie,dream,37.3,16.8,192.0,3000.0,female
adelie,dream,37.5,18.9,179.0,2975.0,
adelie,biscoe,41.0,20.0,203.0,4725.0,male
adelie,torgersen,37.3,20.5,199.0,3775.0,male
adelie,torgersen,45.8,18.9,197.0,4150.0,male
adelie,dream,40.9,18.9,184.0,3900.0,male
adelie,dream,36.0,17.1,187.0,3700.0,female
adelie,biscoe,39.7,18.9,184.0,3550.0,male
adelie,biscoe,37.6,17.0,185.0,3600.0,female
adelie,torgersen,42.9,17.6,196.0,4700.0,male
adelie,dream,37.3,17.8,191.0,3350.0,female
adelie,biscoe,42.0,19.5,200.0,4050.0,male
adelie,torgersen,39.3,20.6,190.0,3650.0,male
adelie,dream,40.3,18.5,196.0,4350.0,male
adelie,biscoe,37.9,18.6,193.0,2925.0,female
adelie,dream,42.3,21.2,191.0,4150.0,male
adelie,dream,39.2,21.1,196.0,4150.0,male
adelie,torgersen,34.6,17.2,189.0,3200.0,female
adelie,torgersen,37.2,19.4,184.0,3900.0,male
adelie,dream,36.4,17.0,195.0,3325.0,female
adelie,torgersen,35.7,17.0,189.0,3350.0,female
adelie,torgersen,39.2,19.6,195.0,4675.0,male
adelie,dream,44.1,19.7,196.0,4400.0,male
adelie,torgersen,33.5,19.0,190.0,3600.0,female
adelie,dream,39.0,18.7,185.0,3650.0,male
adelie,torgersen,35.2,15.9,186.0,3050.0,female
adelie,torgersen,35.1,19.4,193.0,4200.0,male
adelie,dream,35.6,17.5,191.0,3175.0,female
adelie,dream,40.2,20.1,200.0,3975.0,male
adelie,dream,38.9,18.8,190.0,3600.0,female
adelie,torgersen,34.1,18.1,193.0,3475.0,
adelie,torgersen,38.6,21.2,191.0,3800.0,male
