iter	MultiClass
0	0.9609560975
1	0.8561478414
2	0.7710519489
3	0.7015894841
4	0.6430887505
5	0.5933087028
6	0.5516150442
7	0.5144103062
8	0.482902777
9	0.4554216344
10	0.431189639
11	0.4099521663
12	0.3907833457
13	0.3738287023
14	0.3592456077
15	0.3452216679
16	0.3337917654
17	0.3233404333
18	0.31456292
19	0.3057540328
20	0.2978349973
21	0.290561965
22	0.2844586547
23	0.2793291234
24	0.2739323015
25	0.2695044439
26	0.2651686123
27	0.2612453483
28	0.2574830299
29	0.2544060919
30	0.2514739719
31	0.2488282618
32	0.2461677768
33	0.2437418992
34	0.2414619655
35	0.2399251447
36	0.2376865231
37	0.2356825786
38	0.2341491087
39	0.2325396855
40	0.2311220702
41	0.229865355
42	0.2285595758
43	0.2272297286
44	0.226339475
45	0.2253580561
46	0.2242983977
47	0.2230900678
48	0.222178341
49	0.2213436544
50	0.2205701473
51	0.2195827958
52	0.2184851692
53	0.217653919
54	0.216885187
55	0.216235669
56	0.2157172975
57	0.2149992353
58	0.2144513238
59	0.2139817256
60	0.2135759508
61	0.2130451709
62	0.2125620443
63	0.2119123519
64	0.2113075001
65	0.2108330921
66	0.2105497066
67	0.2100549266
68	0.2096358863
69	0.2092980436
70	0.209036619
71	0.2085814811
72	0.2082095093
73	0.207887875
74	0.2074706602
75	0.2072217107
76	0.206813054
77	0.2066041838
78	0.2062814294
79	0.2060113228
80	0.2057585836
81	0.2056665667
82	0.205298942
83	0.2050133918
84	0.2046337345
85	0.20437601
86	0.2041803865
87	0.2039375048
88	0.2036678355
89	0.2033099721
90	0.2030673014
91	0.2028600159
92	0.2025805662
93	0.2023557344
94	0.2020729215
95	0.201788493
96	0.2015180833
97	0.2012602111
98	0.2011290149
99	0.2009188069
100	0.200726879
101	0.2005147198
102	0.2002689424
103	0.1999375914
104	0.1998060555
105	0.1995508721
106	0.1993687549
107	0.1990763934
108	0.1987359925
109	0.198611778
110	0.1983265465
111	0.1981812349
112	0.1979972639
113	0.1977429683
114	0.1975340019
115	0.1973116697
116	0.1970689087
117	0.1969716773
118	0.1967637574
119	0.1966129157
120	0.1963773154
121	0.1961724964
122	0.1960140976
123	0.195812894
124	0.1957006239
125	0.1955057701
126	0.1954077044
127	0.1952149444
128	0.1951190053
129	0.1950309529
130	0.1948395914
131	0.1946073281
132	0.1941904466
133	0.1938796908
134	0.1936986853
135	0.193535527
136	0.1933003387
137	0.1931350293
138	0.1929132082
139	0.1927224326
140	0.1924667733
141	0.1922611888
142	0.1921215403
143	0.1918747185
144	0.1917223741
145	0.1915864857
146	0.1914654181
147	0.1912872661
148	0.1911383034
149	0.1909640393
150	0.1907778621
151	0.1906066968
152	0.1904406702
153	0.1903086538
154	0.190128539
155	0.1899462307
156	0.1898803027
157	0.1896775883
158	0.1894956173
159	0.1893335259
160	0.1892544237
161	0.1890592371
162	0.1887968397
163	0.1886352188
164	0.1885571566
165	0.1885129638
166	0.1884080245
167	0.1882689281
168	0.1881485216
169	0.1879690524
170	0.1878415646
171	0.1877524565
172	0.1876256617
173	0.1875100263
174	0.1872793994
175	0.1872369901
176	0.1870768673
177	0.1868809108
178	0.1866670702
179	0.1865324553
180	0.1863828311
181	0.1862786992
182	0.1860920831
183	0.1858989622
184	0.1857343711
185	0.1856322122
186	0.1855127568
187	0.185412681
188	0.1852499795
189	0.185100108
190	0.1849683356
191	0.1847965593
192	0.1847121779
193	0.1846358862
194	0.1845281543
195	0.1844374229
196	0.1842123156
197	0.1840964882
198	0.1839692168
199	0.1838424781
200	0.1836905891
201	0.1835369498
202	0.1834292847
203	0.1833151495
204	0.1832285192
205	0.1831094084
206	0.1829973926
207	0.1829019682
208	0.1828377452
209	0.1827031572
210	0.1826222924
211	0.1825304856
212	0.1824484084
213	0.1823877966
214	0.1823465505
215	0.1822779241
216	0.1821750177
217	0.1820889626
218	0.1819677242
219	0.1818963325
220	0.1817776295
221	0.1816876409
222	0.1815782707
223	0.1814503562
224	0.1813182433
225	0.1812117439
226	0.1811081355
227	0.1810672938
228	0.181002378
229	0.1809188846
230	0.1808587179
231	0.1807267921
232	0.1805803636
233	0.1804972043
234	0.1803834918
235	0.1802765351
236	0.1801926346
237	0.1800648257
238	0.179879492
239	0.179740065
240	0.1796024244
241	0.1794875884
242	0.1793520935
243	0.1792434935
244	0.1791479908
245	0.1790800926
246	0.1790031544
247	0.1789197036
248	0.1788076764
249	0.1787434034
250	0.1786603605
251	0.1785795204
252	0.1784617547
253	0.1783796033
254	0.1782633466
255	0.1781430986
256	0.178057137
257	0.1779937272
258	0.1779348023
259	0.177810507
260	0.1776920142
261	0.177647137
262	0.1774104399
263	0.1772882096
264	0.1772035283
265	0.1771199605
266	0.1770646885
267	0.1770007742
268	0.1769030082
269	0.1768102926
270	0.1767369596
271	0.1766746717
272	0.1766019808
273	0.1764553588
274	0.1764051792
275	0.1762708469
276	0.1761458037
277	0.1760784543
278	0.176049895
279	0.1759852895
280	0.175904426
281	0.1757650634
282	0.1756768613
283	0.1755873741
284	0.17549219
285	0.1754255929
286	0.1753538945
287	0.1753026569
288	0.1752410158
289	0.1751618626
290	0.1751089965
291	0.1750304623
292	0.1749726513
293	0.1748717995
294	0.1748037109
295	0.1747157095
296	0.1746519804
297	0.1745534264
298	0.1744890979
299	0.1744009389
300	0.1743620734
301	0.1742335511
302	0.1741724298
303	0.1740804882
304	0.1739902087
305	0.1739043788
306	0.1738492599
307	0.1737063074
308	0.173667395
309	0.1735979585
310	0.1735518564
311	0.1734845684
312	0.1734443234
313	0.1733865169
314	0.1733385448
315	0.1732910525
316	0.173252104
317	0.1731841862
318	0.1730766766
319	0.1729661979
320	0.1728745439
321	0.1728056612
322	0.1727452444
323	0.1726744578
324	0.172618708
325	0.1725186568
326	0.1724573184
327	0.1724092913
328	0.1723426513
329	0.1722364325
330	0.1722078455
331	0.1721302554
332	0.1720861133
333	0.172002666
334	0.1719595584
335	0.1718640995
336	0.1717550603
337	0.1716636135
338	0.1715382906
339	0.1714154746
340	0.1713525475
341	0.1712969395
342	0.1712166774
343	0.1711737607
344	0.1711399515
345	0.1710799008
346	0.1710109657
347	0.1708410496
348	0.1707335357
349	0.1706601127
350	0.1706051372
351	0.1705408359
352	0.1705068374
353	0.1703602271
354	0.1703088037
355	0.1701912621
356	0.1700971058
357	0.1700477626
358	0.1699723358
359	0.1699265377
360	0.1698373125
361	0.1697338965
362	0.1696873747
363	0.1696286871
364	0.1695950433
365	0.1695404527
366	0.1694603925
367	0.169418156
368	0.1693203505
369	0.1692497707
370	0.169123488
371	0.1690217855
372	0.1689954236
373	0.168923478
374	0.1688537519
375	0.1687788089
376	0.1687490779
377	0.168707357
378	0.1686624279
379	0.1686100469
380	0.16858228
381	0.1685338045
382	0.1684396285
383	0.1683317457
384	0.168272839
385	0.1682336432
386	0.1681585553
387	0.1681152232
388	0.1680834557
389	0.1680001718
390	0.167934457
391	0.1678601606
392	0.1677543258
393	0.1677032783
394	0.1676850857
395	0.1676174897
396	0.1675340667
397	0.1674724291
398	0.1673601923
399	0.1673201829
400	0.1672241812
401	0.167161987
402	0.1671062975
403	0.1670227626
404	0.166961
405	0.1669422092
406	0.166887565
407	0.1668656109
408	0.1668054895
409	0.1667762305
410	0.1667476562
411	0.1666504278
412	0.1665942863
413	0.1665614229
414	0.1665292359
415	0.1664822416
416	0.166414406
417	0.16635093
418	0.1662902702
419	0.1662611696
420	0.1661996712
421	0.1661399649
422	0.1660742067
423	0.1659858645
424	0.1659193131
425	0.1658738186
426	0.1658495184
427	0.1657851276
428	0.1657124488
429	0.1656707636
430	0.1656300349
431	0.1655894276
432	0.1655111366
433	0.1654484042
434	0.1654141798
435	0.1653525238
436	0.1653251591
437	0.1652796389
438	0.165219927
439	0.1651647284
440	0.1650911501
441	0.1650441114
442	0.1649968673
443	0.1649179528
444	0.1648535951
445	0.1648099169
446	0.1647679014
447	0.1646916069
448	0.1646398904
449	0.1645665988
450	0.1645313052
451	0.1644367724
452	0.1643634736
453	0.1643260767
454	0.1642982838
455	0.1642269217
456	0.1641759467
457	0.1641520571
458	0.1641192754
459	0.164063558
460	0.1640249371
461	0.1639936649
462	0.1639477924
463	0.1638883457
464	0.1638523754
465	0.1638332044
466	0.1637636334
467	0.1637189379
468	0.1636779367
