iter	Passed	Remaining
0	10	10942
1	23	11723
2	35	11723
3	47	11705
4	57	11508
5	68	11379
6	82	11721
7	95	11902
8	108	11898
9	118	11764
10	129	11660
11	140	11545
12	151	11493
13	162	11417
14	172	11330
15	183	11286
16	194	11226
17	206	11249
18	217	11230
19	229	11239
20	242	11289
21	252	11237
22	263	11187
23	273	11125
24	284	11111
25	298	11178
26	313	11289
27	325	11303
28	338	11334
29	351	11377
30	364	11405
31	379	11467
32	388	11395
33	401	11406
34	412	11365
35	422	11301
36	432	11264
37	443	11229
38	453	11174
39	464	11137
40	475	11130
41	486	11097
42	498	11090
43	511	11111
44	522	11081
45	532	11045
46	543	11012
47	554	10991
48	566	10987
49	577	10973
50	588	10953
51	599	10927
52	611	10934
53	623	10930
54	634	10899
55	645	10873
56	656	10862
57	668	10861
58	680	10845
59	690	10818
60	699	10775
61	712	10779
62	723	10759
63	733	10731
64	744	10707
65	755	10684
66	765	10654
67	776	10636
68	787	10619
69	798	10611
70	810	10605
71	822	10594
72	833	10583
73	844	10572
74	856	10559
75	866	10538
76	877	10515
77	887	10495
78	897	10463
79	908	10443
80	918	10425
81	930	10413
82	944	10434
83	955	10418
84	965	10396
85	976	10373
86	986	10357
87	996	10329
88	1008	10323
89	1020	10318
90	1032	10311
91	1042	10288
92	1053	10269
93	1063	10247
94	1076	10252
95	1088	10253
96	1099	10239
97	1109	10212
98	1120	10196
99	1131	10179
100	1142	10166
101	1153	10155
102	1164	10140
103	1174	10119
104	1185	10102
105	1195	10083
106	1206	10065
107	1216	10050
108	1228	10045
109	1240	10039
110	1251	10022
111	1261	10005
112	1272	9985
113	1282	9970
114	1293	9955
115	1304	9940
116	1315	9928
117	1325	9907
118	1337	9903
119	1348	9891
120	1360	9882
121	1376	9906
122	1390	9914
123	1403	9916
124	1417	9920
125	1434	9948
126	1450	9968
127	1464	9974
128	1480	9993
129	1494	9999
130	1509	10011
131	1525	10032
132	1541	10045
133	1559	10078
134	1577	10107
135	1591	10111
136	1603	10100
137	1617	10105
138	1629	10092
139	1643	10094
140	1657	10096
141	1670	10093
142	1682	10083
143	1695	10081
144	1706	10063
145	1717	10044
146	1727	10026
147	1737	10004
148	1748	9985
149	1760	9973
150	1773	9972
151	1783	9951
152	1794	9931
153	1804	9913
154	1815	9896
155	1826	9883
156	1838	9871
157	1849	9854
158	1861	9847
159	1872	9829
160	1882	9809
161	1892	9789
162	1903	9775
163	1916	9770
164	1931	9772
165	1942	9757
166	1953	9745
167	1964	9728
168	1976	9718
169	1989	9712
170	2004	9716
171	2016	9705
172	2027	9693
173	2039	9680
174	2049	9660
175	2059	9644
176	2074	9647
177	2086	9637
178	2096	9617
179	2108	9606
180	2119	9592
181	2130	9573
182	2141	9562
183	2153	9549
184	2164	9534
185	2175	9520
186	2187	9511
187	2198	9496
188	2211	9488
189	2221	9471
190	2232	9456
191	2242	9436
192	2253	9423
193	2264	9408
194	2274	9390
195	2286	9380
196	2299	9372
197	2309	9354
198	2320	9340
199	2331	9326
200	2343	9315
201	2356	9308
202	2367	9294
203	2379	9284
204	2391	9273
205	2405	9270
206	2417	9261
207	2429	9252
208	2441	9242
209	2455	9236
210	2466	9222
211	2475	9203
212	2489	9198
213	2501	9188
214	2512	9174
215	2522	9157
216	2533	9140
217	2543	9125
218	2554	9111
219	2565	9096
220	2576	9081
221	2587	9067
222	2598	9054
223	2610	9043
224	2623	9035
225	2634	9022
226	2645	9007
227	2654	8989
228	2665	8975
229	2676	8959
230	2686	8942
231	2698	8931
232	2708	8917
233	2720	8905
234	2731	8891
235	2741	8876
236	2751	8859
237	2766	8856
238	2777	8843
239	2787	8826
240	2799	8816
241	2811	8806
242	2822	8793
243	2835	8784
244	2849	8780
245	2860	8767
246	2873	8760
247	2884	8745
248	2899	8746
249	2912	8738
250	2924	8727
251	2936	8716
252	2947	8703
253	2959	8690
254	2969	8674
255	2981	8664
256	2991	8649
257	3002	8635
258	3012	8619
259	3025	8610
260	3039	8606
261	3049	8589
262	3062	8582
263	3073	8567
264	3083	8552
265	3095	8540
266	3105	8526
267	3115	8509
268	3126	8496
269	3137	8484
270	3149	8471
271	3159	8457
272	3170	8444
273	3183	8435
274	3194	8422
275	3206	8411
276	3217	8398
277	3227	8381
278	3239	8372
279	3250	8359
280	3260	8343
281	3272	8332
282	3283	8320
283	3294	8306
284	3305	8293
285	3319	8286
286	3329	8271
287	3341	8260
288	3352	8248
289	3372	8256
290	3386	8250
291	3397	8237
292	3408	8223
293	3418	8209
294	3428	8194
295	3440	8183
296	3454	8176
297	3467	8168
298	3477	8152
299	3488	8140
300	3499	8126
301	3509	8112
302	3520	8097
303	3531	8084
304	3541	8068
305	3553	8059
306	3564	8046
307	3575	8033
308	3586	8020
309	3596	8005
310	3610	7998
311	3620	7983
312	3631	7971
313	3641	7955
314	3652	7942
315	3663	7930
316	3675	7919
317	3689	7912
318	3702	7904
319	3715	7896
320	3730	7890
321	3746	7887
322	3761	7883
323	3777	7881
324	3790	7873
325	3803	7863
326	3816	7854
327	3828	7844
328	3841	7834
329	3852	7822
330	3865	7812
331	3877	7802
332	3889	7791
333	3902	7781
334	3912	7767
335	3926	7759
336	3936	7743
337	3947	7730
338	3957	7716
339	3968	7703
340	3980	7692
341	3991	7678
